Number of Reviews,Frequency
1,1069533
2,191934
3,76087
4,41434
5,25671
6,17120
7,11912
8,8914
9,7128
10,5780
11,4531
12,3755
13,3168
14,2750
15,2388
16,2023
17,1741
18,1498
19,1324
20,1238
21,1023
22,937
23,920
24,814
25,690
26,670
27,576
28,588
29,512
30,492
31,460
32,420
33,421
34,367
35,336
36,344
37,308
38,291
39,265
40,243
41,220
42,195
43,227
44,203
45,206
46,194
47,178
48,159
49,149
50,188
51,151
52,127
53,156
54,121
55,120
56,119
57,117
58,119
59,110
60,114
61,88
62,97
63,95
64,112
65,83
66,84
67,70
68,86
69,76
70,80
71,64
72,63
73,54
74,68
75,63
76,48
77,53
78,53
79,53
80,61
81,53
82,55
83,47
84,68
85,52
86,50
87,45
88,41
89,36
90,46
91,25
92,39
93,47
94,37
95,32
96,30
97,43
98,41
99,33
100,35
101,36
102,35
103,32
104,38
105,31
106,39
107,40
108,41
109,37
110,33
111,28
112,30
113,25
114,24
115,23
116,20
117,31
118,25
119,23
120,30
121,29
122,19
123,26
124,32
125,26
126,21
127,15
128,25
129,17
130,18
131,13
132,17
133,19
134,19
135,18
136,27
137,20
138,18
139,10
140,14
141,21
142,17
143,14
144,15
145,18
146,23
147,14
148,20
149,12
150,12
151,13
152,4
153,20
154,15
155,15
156,15
157,13
158,12
159,14
160,10
161,13
162,13
163,13
164,10
165,13
166,10
167,7
168,16
169,20
170,10
171,14
172,8
173,8
174,12
175,15
176,12
177,9
178,16
179,8
180,11
181,10
182,9
183,12
184,6
185,8
186,11
187,8
188,10
189,10
190,8
191,11
192,11
193,5
194,3
195,4
196,9
197,4
198,9
199,12
200,8
201,10
202,2
203,10
204,4
205,8
206,4
207,7
208,6
209,4
210,4
211,7
212,9
213,6
214,2
215,3
216,9
217,8
218,11
219,4
220,15
221,6
222,4
223,7
224,4
225,5
226,6
227,3
228,7
229,5
230,4
231,4
232,5
233,9
234,7
235,7
236,9
237,4
238,2
239,7
240,4
241,7
242,3
243,4
244,6
245,6
246,4
247,5
248,5
249,8
250,4
251,6
252,8
253,9
254,5
255,11
256,5
257,5
258,10
259,7
260,5
261,13
262,4
263,3
264,7
265,4
266,3
267,5
268,2
269,5
270,4
271,6
272,2
273,4
274,4
275,4
276,5
277,3
278,4
279,4
280,5
281,2
282,3
283,8
284,4
285,6
286,2
287,4
288,6
289,3
290,6
291,6
292,5
293,1
294,2
295,3
296,3
298,3
299,3
300,4
301,1
302,2
303,3
304,5
306,3
307,5
308,2
309,1
310,2
311,4
312,3
313,2
314,4
315,1
316,3
317,2
318,4
319,1
320,3
321,1
322,1
323,3
324,1
325,3
327,1
328,3
329,4
330,1
331,2
332,1
333,5
335,2
336,1
337,2
338,2
339,2
340,1
341,2
342,1
343,4
344,4
345,1
346,1
347,2
349,1
350,2
351,2
352,1
353,2
354,1
355,3
356,7
357,1
358,1
359,1
360,2
361,3
362,5
363,3
364,3
365,1
367,2
368,4
369,3
370,3
371,2
372,3
373,5
375,3
376,2
377,6
378,2
379,2
381,4
382,2
383,4
385,4
387,2
389,2
390,2
391,1
392,3
393,3
394,3
395,3
396,1
397,1
398,1
399,1
400,2
401,2
402,1
404,1
405,2
406,4
407,8
408,3
409,3
410,1
411,1
412,2
413,2
415,1
416,2
418,1
419,1
420,2
421,2
422,2
423,4
424,1
426,1
427,5
428,2
429,3
430,2
431,1
432,1
433,1
434,2
435,4
436,2
438,2
439,2
441,2
442,2
443,3
444,1
448,1
450,4
451,1
454,1
456,3
458,2
459,3
460,2
461,3
462,1
463,1
464,2
466,2
467,1
468,1
470,2
471,1
473,1
476,3
477,1
478,1
479,2
481,1
482,2
484,1
485,2
486,1
487,1
488,4
489,2
491,4
492,1
493,2
494,1
496,1
497,2
498,1
500,2
501,1
503,3
505,1
507,3
508,2
510,1
511,1
512,1
517,1
519,3
521,2
522,1
524,2
525,1
526,2
528,1
529,1
530,2
531,1
532,2
534,1
536,3
537,2
538,1
539,1
540,2
541,1
543,2
544,1
545,1
546,1
547,2
548,2
549,2
550,1
552,1
555,1
556,4
557,1
558,4
561,2
562,2
566,1
568,2
569,1
570,1
572,3
573,1
574,1
576,2
577,1
578,1
579,1
581,2
584,1
585,1
586,1
587,2
588,1
589,2
590,1
592,1
597,1
600,1
601,1
602,2
604,1
606,4
607,1
608,1
609,3
610,1
611,1
612,2
613,3
614,2
616,1
619,4
620,1
622,1
623,1
625,2
626,2
627,1
629,2
631,1
632,2
634,1
635,2
636,1
639,1
640,1
641,2
642,1
643,1
644,1
648,1
650,1
652,1
653,2
654,1
657,2
658,1
660,1
661,2
662,1
663,2
666,1
669,2
673,3
674,1
676,1
677,1
678,1
681,2
685,1
688,1
691,1
695,1
696,1
701,1
703,1
704,1
706,1
709,1
713,3
715,1
724,1
730,1
733,2
734,1
736,2
742,1
744,1
750,3
752,1
755,1
756,1
758,1
759,1
761,1
764,3
765,1
767,1
769,1
770,1
773,1
774,1
775,2
777,1
785,1
789,1
790,1
791,1
795,1
804,1
807,1
808,2
811,1
812,1
815,1
816,1
817,1
822,1
823,1
825,1
827,1
828,1
829,1
831,1
837,1
842,2
843,1
846,1
848,1
853,1
855,1
856,1
858,1
868,1
872,2
875,1
882,1
885,3
886,1
893,1
894,1
899,2
900,1
902,1
903,1
906,1
908,1
915,1
916,2
917,1
918,1
920,1
924,1
926,1
929,1
931,1
936,1
943,1
945,1
947,1
951,2
953,1
958,3
963,1
983,1
988,1
995,1
996,1
1002,1
1004,2
1006,1
1008,1
1009,1
1010,1
1013,1
1021,1
1022,1
1031,1
1033,1
1040,1
1044,2
1046,1
1051,1
1055,1
1060,1
1062,1
1069,1
1071,1
1073,1
1074,1
1080,1
1086,1
1097,1
1103,1
1106,1
1109,1
1116,1
1130,1
1144,1
1151,1
1153,1
1156,2
1163,1
1166,2
1168,1
1171,1
1177,1
1178,1
1182,1
1183,1
1185,1
1187,1
1211,1
1213,1
1222,1
1224,1
1227,1
1234,1
1235,1
1239,1
1240,1
1251,1
1258,1
1275,1
1279,1
1292,1
1298,1
1303,1
1323,1
1324,1
1336,1
1342,1
1347,1
1348,1
1356,1
1358,2
1369,1
1371,1
1388,1
1405,1
1408,1
1423,1
1451,1
1453,1
1456,1
1467,1
1480,1
1487,1
1489,1
1491,1
1493,1
1499,1
1501,1
1510,1
1511,2
1550,1
1552,1
1565,1
1567,1
1578,1
1595,1
1598,1
1604,1
1617,1
1635,1
1637,1
1646,1
1649,1
1655,1
1659,1
1664,1
1670,1
1683,1
1729,1
1731,1
1735,1
1754,1
1759,1
1772,1
1779,1
1781,1
1794,1
1805,1
1830,1
1833,1
1842,1
1854,1
1861,2
1878,1
1879,1
1901,1
1909,1
1910,1
1916,1
1920,1
1935,1
1956,1
1969,1
1992,1
1993,1
1996,1
2022,1
2073,1
2079,1
2088,1
2093,1
2100,1
2102,1
2112,2
2134,1
2165,1
2186,1
2209,1
2217,1
2225,1
2254,1
2277,1
2283,1
2287,1
2324,1
2367,1
2378,1
2409,1
2425,1
2476,1
2506,2
2509,1
2532,1
2537,1
2577,1
2591,1
2671,1
2732,1
2777,1
2784,1
2785,1
2819,1
2843,1
2895,1
2923,1
2934,1
2988,1
3001,1
3069,1
3151,1
3235,1
3258,1
3322,1
3326,1
3497,1
3499,1
3539,1
3702,1
3785,1
3800,1
3845,1
3912,1
3939,1
3948,1
